insee,commune,departement,travail_insee,travail_commune,travail_departement,latitude,longitude,emplois,habitants,menages,pers_par_menages,unite_conso_menages,revenu_median,travail_latitude,travail_longitude,travail_emplois,distance_oiseau_km,distance_auto_km,duree_auto_minutes,distance_velo_km,duree_velo_minutes,2009,2014,2009_inter,2014_inter,2009_extra,2014_extra,2009_extra_travail_commune,extra_travail_commune_2014
30028,BAGNOLS-SUR-CEZE,30,84007,AVIGNON,84,44.16224967,4.624773809,2737,18172,8274,18328,12709,17356,43.93524483,4.840715725,18441,30.6,37.8,50,40.3,174,6361,5815,3699,3472,2662,2343,139,138
30032,BEAUCAIRE,30,13004,ARLES,13,43.77974295,4.593802969,1719,15859,6394,15820,10498,16139,43.54686924,4.662156426,6743,26.5,32.2,37,35.2,150,5547,5323,2890,2455,2657,2868,352,416
30032,BEAUCAIRE,30,13108,TARASCON,13,43.77974295,4.593802969,1719,15859,6394,15820,10498,16139,43.79398853,4.686148492,1637,7.6,9.5,15,10.3,43,5547,5323,2890,2455,2657,2868,609,605
30032,BEAUCAIRE,30,13100,SAINT-REMY-DE-PROVENCE,13,43.77974295,4.593802969,1719,15859,6394,15820,10498,16139,43.7834249,4.853666653,2096,20.9,24.3,35,24.7,103,5547,0,2890,0,2657,0,102,0
30032,BEAUCAIRE,30,84007,AVIGNON,84,43.77974295,4.593802969,1719,15859,6394,15820,10498,16139,43.93524483,4.840715725,18441,26.3,34.1,49,33.2,144,5547,5323,2890,2455,2657,2868,239,244
30032,BEAUCAIRE,30,30189,NIMES,30,43.77974295,4.593802969,1719,15859,6394,15820,10498,16139,43.84493839,4.34806797,22719,21.0,27.8,43,27.8,118,5547,5323,2890,2455,2657,2868,330,317
30033,BEAUVOISIN,30,30341,VAUVERT,30,43.69626444,4.322197965,195,4613,1875,4867,3165,19564,43.62584685,4.305970933,1066,7.9,9.0,12,9.0,37,1554,2050,406,499,1148,1551,103,147
30033,BEAUVOISIN,30,30189,NIMES,30,43.69626444,4.322197965,195,4613,1875,4867,3165,19564,43.84493839,4.34806797,22719,16.7,23.8,37,21.3,88,1554,2050,406,499,1148,1551,528,677
30034,BELLEGARDE,30,30189,NIMES,30,43.75181399,4.495738245,468,6707,2628,6768,4445,18845,43.84493839,4.34806797,22719,15.7,19.3,30,20.8,90,2563,2741,841,802,1722,1939,448,581
30034,BELLEGARDE,30,13108,TARASCON,13,43.75181399,4.495738245,468,6707,2628,6768,4445,18845,43.79398853,4.686148492,1637,16.0,18.7,25,21.4,89,0,2741,0,802,0,1939,0,110
30034,BELLEGARDE,30,30032,BEAUCAIRE,30,43.75181399,4.495738245,468,6707,2628,6768,4445,18845,43.77974295,4.593802969,1719,8.5,11.6,22,11.6,48,2563,2741,841,802,1722,1939,169,149
30034,BELLEGARDE,30,13004,ARLES,13,43.75181399,4.495738245,468,6707,2628,6768,4445,18845,43.54686924,4.662156426,6743,26.4,33.0,35,35.6,156,2563,2741,841,802,1722,1939,338,365
30036,BERNIS,30,30189,NIMES,30,43.77133636,4.283429602,304,3306,1329,3292,2194,20017,43.84493839,4.34806797,22719,9.7,14.1,24,11.9,50,1182,1249,269,296,912,953,499,536
30037,BESSEGES,30,30007,ALES,30,44.29039529,4.107840155,269,2963,1423,2682,1989,15006,44.12500991,4.088285013,6385,18.5,30.9,44,28.5,135,728,0,385,0,343,0,100,0
30039,BEZOUCE,30,30189,NIMES,30,43.87453623,4.500485721,86,2229,930,2294,1535,19499,43.84493839,4.34806797,22719,12.7,16.4,29,16.3,69,763,848,209,145,553,702,304,339
30041,BLAUZAC,30,30334,UZES,30,43.96717608,4.375073101,48,1160,453,1112,745,21694,44.01365904,4.416000316,1634,6.1,8.5,13,7.6,42,472,0,116,0,356,0,152,0
30041,BLAUZAC,30,30189,NIMES,30,43.96717608,4.375073101,48,1160,453,1112,745,21694,43.84493839,4.34806797,22719,13.8,23.8,29,18.6,76,472,495,116,90,356,405,112,160
30042,BOISSET-ET-GAUJAC,30,30007,ALES,30,44.04793818,4.027136221,185,2499,991,2495,1648,18575,44.12500991,4.088285013,6385,9.9,12.4,19,11.5,48,852,859,204,164,648,695,272,260
30042,BOISSET-ET-GAUJAC,30,30010,ANDUZE,30,44.04793818,4.027136221,185,2499,991,2495,1648,18575,44.05078937,3.974841653,511,4.2,6.5,12,6.6,27,852,859,204,164,648,695,120,120
30046,BOUCOIRAN-ET-NOZIERES,30,30189,NIMES,30,43.99384369,4.179052179,94,878,368,917,606,16795,43.84493839,4.34806797,22719,21.4,23.9,27,26.8,119,0,420,0,87,0,334,0,111
30047,BOUILLARGUES,30,30189,NIMES,30,43.80161846,4.434484254,541,6291,2517,6440,4264,21069,43.84493839,4.34806797,22719,8.4,10.0,22,11.2,49,2507,2421,584,518,1923,1903,1152,1121
30051,BRANOUX-LES-TAILLADES,30,30007,ALES,30,44.22859324,3.974647477,27,1383,591,1354,932,17640,44.12500991,4.088285013,6385,14.7,21.3,30,20.5,107,433,472,46,122,387,350,117,110
30051,BRANOUX-LES-TAILLADES,30,30132,LA GRAND-COMBE,30,44.22859324,3.974647477,27,1383,591,1354,932,17640,44.22715122,4.029849021,416,4.4,11.0,18,8.9,62,433,0,46,0,387,0,117,0
30057,CABRIERES,30,30189,NIMES,30,43.90787325,4.466814874,32,1588,602,1515,1003,20663,43.84493839,4.34806797,22719,11.8,18.4,27,16.1,70,587,721,85,186,502,536,279,301
30059,LE CAILAR,30,30341,VAUVERT,30,43.6585976,4.242460609,100,2384,1037,2514,1700,20495,43.62584685,4.305970933,1066,6.3,13.0,19,11.5,51,1081,956,247,232,834,725,101,133
30059,LE CAILAR,30,30189,NIMES,30,43.6585976,4.242460609,100,2384,1037,2514,1700,20495,43.84493839,4.34806797,22719,22.4,36.1,44,28.2,118,1081,956,247,232,834,725,146,123
30060,CAISSARGUES,30,30189,NIMES,30,43.79201187,4.395498483,723,3948,1754,4248,2866,21868,43.84493839,4.34806797,22719,7.0,9.3,22,8.7,40,1448,1538,280,339,1168,1199,740,729
30061,LA CALMETTE,30,30189,NIMES,30,43.92631631,4.263553729,233,2079,903,2129,1451,19105,43.84493839,4.34806797,22719,11.3,12.9,17,14.5,67,812,843,204,254,608,589,428,359
30062,CALVISSON,30,30189,NIMES,30,43.78767701,4.18871767,363,5320,2182,5526,3645,21242,43.84493839,4.34806797,22719,14.3,18.7,30,18.2,81,1952,2328,502,594,1450,1734,591,733
30062,CALVISSON,30,34172,MONTPELLIER,34,43.78767701,4.18871767,363,5320,2182,5526,3645,21242,43.61344091,3.868516579,38976,32.2,45.3,49,39.4,179,1952,2328,502,594,1450,1734,122,106
30075,CAVEIRAC,30,30189,NIMES,30,43.83386686,4.267857962,321,3923,1616,4042,2719,22975,43.84493839,4.34806797,22719,6.6,11.8,23,9.6,44,1640,1630,344,335,1296,1295,964,829
30077,CENDRAS,30,30007,ALES,30,44.15071686,4.035672833,95,1884,838,1809,1270,16212,44.12500991,4.088285013,6385,5.1,8.1,16,7.6,32,573,517,165,117,407,401,238,172
30081,CHUSCLAN,30,30028,BAGNOLS-SUR-CEZE,30,44.1543328,4.688296222,261,1008,419,970,669,22397,44.16224967,4.624773809,2737,5.1,6.6,12,6.9,29,0,458,0,194,0,264,0,103
